dataset_id,dataset_name,dataset_name_,test_accuracy
0,Adiac,lstmfcn_128_cells_weights/Adiac,0.038363
1,ArrowHead,lstmfcn_128_cells_weights/ArrowHead,0.594286
0,Adiac,lstmfcn_128_cells_weights/Adiac,0.028133
1,ArrowHead,lstmfcn_128_cells_weights/ArrowHead,0.628571
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.686224
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.695652
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.688776
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.695652
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.695652
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.657289
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.700767
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.683673
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.657289
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.686224
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.685422
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.673469
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.682864
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.653061
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.698210
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.698210
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.655612
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.659847
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.663265
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.647059
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.683673
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.690537
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.681122
1,cairo_9999_1,lstmfcn_128_cells_weights/cairo_9999_1,0.698210
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.670918
0,cairo_9999_0,lstmfcn_128_cells_weights/cairo_9999_0,0.683673
